435,915,384
875,942,108
477,372,902
455,261,145
915,698,643
539,344,481
543,140,975
931,172,823
120,542,321
388,551,889
565,504,703
181,891,605
584,742,709
286,808,470
991,150,755
291,726,343
362,713,692
730,268,162
774,897,538
516,203,124
344,290,225
480,321,765
995,943,797
822,487,137
304,622,142
267,677,374
902,253,651
606,214,531
544,133,689
174,832,345
287,687,692
815,499,223
827,220,723
711,755,659
232,477,882
940,643,124
489,421,685
832,262,469
483,871,678
181,235,381
565,144,736
799,107,122
652,222,889
920,263,843
130,692,620
965,146,206
350,736,652
644,144,254
886,295,361
483,260,210
650,736,486
113,937,878
372,414,617
455,1000,876
908,545,941
130,983,938
980,496,789
818,220,747
488,438,428
964,598,264
246,708,939
573,546,554
776,800,652
886,669,326
437,240,104
932,374,472
457,927,543
128,748,515
408,396,629
714,606,670
809,318,383
584,496,831
768,424,669
663,959,743
324,874,213
142,723,729
459,555,696
383,540,741
781,223,525
252,401,682
109,154,183
290,828,786
708,319,302
613,397,604
997,418,515
391,368,578
371,551,628
338,176,136
500,634,621
245,770,826
370,433,533
154,658,479
728,553,881
793,307,483
357,131,114
242,603,795
299,177,787
177,688,418
307,666,413
891,126,342
203,727,553
